Country Name,Country Code,"Stocks, Transactions, and Other Flows Name","Stocks, Transactions, and Other Flows Code",Sector Name,Sector Code,Unit Name,Unit Code,Residence Name,Residence Code,Instrument and Assets Classification Name,Instrument and Assets Classification Code,Attribute,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Indicator Code,Global DSD Time Series Code,Unnamed: 64
"Fiji, Rep. of",819,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,85460000,,,,,,,,,,,220141400,,,,-260546946.86,-142139689.84,-127371215.03,-83978378.96,298024194.37,257171303,345895480.48,383900000,747021516.800619,612635666.428506,,GADL_T_G14_XDC,A|FJ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Finland,172,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,3758159216.78246,10959293476.1585,12912796242.009,11596221153.6683,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|FI|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
France,132,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,23492393556.2849,10671431206.6187,42899153450.6073,58982524769.1541,41267948966.167,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|FR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Gabon,646,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-164980274776,27668033165.1181,-213103520934.639,82434546827.7612,201409166114.441,66642716807.5616,33575827714.4764,-307910824789.344,,GADL_T_G14_XDC,A|GA|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Gambia, The",648,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4341486348.04,,,GADL_T_G14_XDC,A|GM|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Georgia,915,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,138700000,234600000,289700000,182500000,237489062.4982,85149720.3398002,83800000,142230000,140700000,41000000,-66500000,-80800000,14500000,962200000,895600000,1276000000,583200000,608800000,233500000,1019500000,941200000,1066600000,1138300000,1127700000,1375500000,6348500000,GADL_T_G14_XDC,A|GE|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Germany,134,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,21893518352.8221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|DE|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Ghana,652,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194591585,152786043,77340726,804385557,1040408462,1905317824,1997515671,2906381184,2272319245,8715440001.53071,9454648302.19138,10636287535.8674,19655552993.7349,13922481178.9954,12244729654,11672748534.4,16891843383.1241,,GADL_T_G14_XDC,A|GH|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Greece,174,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,8272516507.7036,7163609684.51944,3248716067.49817,6045487894.3507,7615553925.16508,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|GR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Grenada,328,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9300000,72610000,100920000,248160000,77041577,129120797,63257810.4,63856481,73774257,35834816,-11699196,45736695,35725312.302,-28424993.948,55082987.05,106196335.8,,,,,,,GADL_T_G14_XDC,A|GD|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Guatemala,258,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2587760000,3705300000,640650000,5846680000,5424980000,5188040000,5470400000,5565800000,2475300000,8505683457.1,11280558746.03,8613463390.76,7426174208.12,8733534380,8334483858.27,7613659201.08,8237263470.08,7781679363.94,10701740367.03,12224855818.42,,GADL_T_G14_XDC,A|GT|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Guinea,656,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,195920000000,125730000000,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|GN|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Guinea-Bissau,654,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17916724072.54,,42743395259.9959,,GADL_T_G14_XDC,A|GW|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Honduras,268,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241197800,5062275600,2290364100,4451092700,6181513000,7452984998,19292967148,15187270270,14694184000,23533983904,35768278653,16897346003.9792,16354559244,14180492607.88,26952447948.85,17131796346,15432466225.8618,,GADL_T_G14_XDC,A|HN|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Hungary,944,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,-9800000000,184300000000,90200000000,285600000000,183200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|HU|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Iceland,176,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,13741500000,10660200000,15758300000,13536700000,15507100000,16976500000,11073100000,-2650000000,97439000.0000021,-5347372000,-9790509000,51152942000,16671133000,3130746000,3840889000,,133043607000,100342638000,625822699000,276852787333.333,210371029332,176565215455,-6807888341.33334,-33596710083,7100718397.33333,-194354803779,-185045147584.667,-254247352173,-83464266743,112716519189,,GADL_T_G14_XDC,A|IS|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
India,534,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,24180000000,36770000000,32150000000,62110000000,25630000000,65030000000,90400000000,82620000000,144940000000,98390000000,175310000000,222510000000,277950000000,277170000000,326630000000,361790000000,438800000000,358580000000,393700000000,615500000000,555240000000,615010000000,664220000000,751010000000,919600000000,1052810000000,1147240000000,1384670000000,1261710000000,803300000000,1631530000000,1551080000000,1024370000000,1109150000000,2549680000000,3952820000000,3371200000000,4950300000000,4856200000000,5254700000000,4801645955000,5122836700000,4905520000000,5854260000000,5736570000000,,,GADL_T_G14_XDC,A|IN|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Indonesia,536,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,1798000000000,1159000000000,-451000000000,-303000000000,,-2658000000000,3432400000000,49705300000000,15942000000000,,,-2462336000000,-6709689000000,-9733281971413.7,-1921289784456,13630015780867,44100940578461,,,,,,,,,,,,,,GADL_T_G14_XDC,A|ID|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Iran, Islamic Rep. of",429,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,3277339000000,7158577000000,2814597488689.63,28840600000000,11126900000000,-13540000000000,-7398700000000,29321306000000,,,0,,,,,,,,,,,,GADL_T_G14_XDC,A|IR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Iraq,433,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721460000000,13554284556000,11871548061238.5,8243218374466.79,3585050186703,-1017205485271.84,,GADL_T_G14_XDC,A|IQ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Israel,436,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,4541800000,7880000000,9215000000,8950000000,5547000000,13383000000,18361000000,5028000000,11708000000,8202000000,,,,,,,3445133010.5,5693253628.4,40219274500.5,64196913284.5,24611741604.4,28055102425.6,46830956947.1,48172244426.6,17234607980.9,16729029080.3,27383063037.6,21793012877.1,52024103223.2,55950156472.6,,GADL_T_G14_XDC,A|IL|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Jamaica,343,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21588420073,39515193849,33982474244,28489107069,49601863000,123963000000,112256000000,46280147282,58552700000,-13260646000,,,,,,,,GADL_T_G14_XDC,A|JM|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Jordan,439,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,178410000,301460000,148200000,-132270000,59900000,168840000,175450000,45680000,180450000,204340000,5550000,139440000,203000000,-132890000,5990000,,,,290400000,1566700000,929900000,1105300000,2060600000,3171300000,2356600000,1258100000,1163700000,1316700000,1189600000,1971300000,,GADL_T_G14_XDC,A|JO|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Kazakhstan, Rep. of",916,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,59135000000,65340000000,69697000000,,,,,,-46595476322.9,83864827000,83123517800,312407237300,560391800000,592121307606.8,504849383237.69,904626988480.99,776953094598.6,1004898189079.93,1173531700970.74,1180764864409.4,2112723432155.33,698314331771.85,1193665630074.89,,GADL_T_G14_XDC,A|KZ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Kenya,664,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,9474000000,,,,,,22600300000,-9216000000,,13113460000,,4001774000,17618000000,-6673000000,36447000000,38611000000,-13891000000,110570000000,174268000000,121656657407.54,108742906200.001,,332894345818.552,607173620251.635,663400050672.442,661897427050.256,707526930000,630766575182.467,,GADL_T_G14_XDC,A|KE|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Kiribati,826,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999116.29,-702767.3031,-5666818.06,-9912570.49490372,-1082514,-1612506.44,-2037258.72,-905218.1,-563331.841599999,,GADL_T_G14_XDC,A|KI|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Korea, Rep. of",542,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,-369000000000,-526000000000,-173000000000,60000000000,-216000000000,-1051000000000,-980000000000,-823000000000,4100198000000,950886000000,-399666000000,-434128000000,-562208000000,-6177133000000,-11704571000000,-2774800000000,-828300000000,,,,,,31536300000000,51549500000000,43468141954908,49708531845933,38551567691555,27624263357765,22817154915245,54157795556592,,GADL_T_G14_XDC,A|KR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Kyrgyz Rep.,917,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876909500,757569000,16262202000,6447695000,13508599000,15921773000,16452629000,22519794000,18909500000,25427300000,24991100000,11775300000,7754560000,,GADL_T_G14_XDC,A|KG|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Lao People's Dem. Rep.,544,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159370000000,911862000000,1178160000000,1322300000000,718760000000,438330000000,1284250000000,3743470000000,3254257066800,8308660363200,3702843382232,4262354528295,,GADL_T_G14_XDC,A|LA|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Lebanon,446,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,3438200000000,4671980000000,5894070000000,5880400000000,4817100000000,3983900000000,3618000000000,3586400000000,3766510000000,2597639000000,2452013000000,7502301000000,6258815186000,2696300000000,2443080000000,6328720000000,8838030000000,5350820000000,6118154400000,6809025000000,6564097065961.88,8487600000000,9508500000000,,GADL_T_G14_XDC,A|LB|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Lesotho, Kingdom of",666,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,160540000,181235000,103368000,,68137217.2650985,-180684442.111579,343213375.03728,-71183126.02185,234172324.49503,139248284.307417,138414788.563531,314470280.497891,638578648.50623,-408607452.92785,340137471.6,-213047320.1,137200000,-560500000,-18700000,111141500,22635499.9999999,197282500,18880570,237984406.478261,673269375.85304,400185072.453196,517307795.375663,1125718173.64984,360300000,264622450.078,926244903.919997,78608582.8929013,-3803755969.77,,GADL_T_G14_XDC,A|LS|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Liberia,668,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,-600000.000000001,-1300000,,49100000,36200000,161700000,84200000,117200000,109500000,105200000,46800000,89100000,89700000,82500000,90200000,,,,,,,,,,,,,,,,,-2983263.07,-1462000,-2055413,-1828568,,0,0,0,0,,,,,,,,GADL_T_G14_XDC,A|LR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Lithuania,946,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,766300000,762300000,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|LT|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Luxembourg,137,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,-59667971.4129187,-47669924.8138939,,,-55478570.844251,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|LU|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Madagascar, Rep. of",674,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346360200000,459884600000,522800000000,450000000000,406869000000,552802000000,198325000000,416277000000,214498000000,272171000000,38483000000,774415000000,798629000000,579296010711.297,945996189163.739,786262379701.964,676210422568.98,,GADL_T_G14_XDC,A|MG|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Malawi,676,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39838392246,2772453213,27374054275,83610576030,28774924942.6369,137752117420.799,164292565768.79,324582271438.35,129344882996.218,323610175185.583,487690285296.868,399974264015.164,GADL_T_G14_XDC,A|MW|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Malaysia,548,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14096000000,19586000000,25771000000,9197000000,14695757000,21485830915.18,35179869000,50592602000,40119755000,45619000000,43331000000,39304700000,37201320000,39658000000,38693300000,40408307648.88,54107184894.07,51732000000,,GADL_T_G14_XDC,A|MY|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Maldives,556,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,161400000,237600000,367300000,413300000,215500000,302500000,138600000,77000000,150800000,284600000,328000000,390700000,399500000,283200000,206000000,1102900000,851600000,766120000,2750000000,5216000000,4315700000,2360100000,,,2109774283.51,3377331406.5599,6892254929.8771,3695632973.1999,6150268824.66,6526892456.71999,,GADL_T_G14_XDC,A|MV|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Mali,678,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35279872999.9999,71031600000,63455024221.0797,33064500000,70790000000,81940000000,,104660000000,36692000000,864100000.000036,135809000000,173447000000,-129406000000,154464000000,216260649000,292699732805,240100000000,101500000000,304480000000,471164541891,,GADL_T_G14_XDC,A|ML|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Malta,181,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,75192173.3053809,86303284.416492,59911483.8108549,65618448.6373166,82948986.7225716,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|MT|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Marshall Islands, Rep. of the",867,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390143,1739741,620581,-14864890,-4504348,798119,-3840701,-2889682,-1988545,674859,-5613000,-465000,,GADL_T_G14_XDC,A|MH|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Mauritius,684,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,1478800000,1883800000,-2190400000,644600000,2158300000,2200500000,3687600000,3371000000,2669000000,-112000000,3330000000,-1131400000,12277400000,16409600000,-31500000,10360700000,10864200000,6219400000,4496500000,9692600000,5148000000,13056700000,6566900000,20195800000,15753800000,4826500000,22235700000,13117722673,-2619300000,12876300000,,GADL_T_G14_XDC,A|MU|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Mexico,273,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84799171333.3041,408907860451.365,374467607236.657,322644422454.196,423348860802.918,542472827221.368,597024057894.121,615886886535.581,621079020507.758,209998740787.85,510743984320.112,557000188768.562,,GADL_T_G14_XDC,A|MX|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Micronesia, Federated States of",868,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8082771.22,1833140,-695324.219999999,7149224,8274637,-5241423,-8813292.21,8636882.79,6954003,28140247.9665943,-19952879.833849,-5937904.04354903,,GADL_T_G14_XDC,A|FM|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Moldova, Rep. of",921,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,609800000,290400000,460700000,201400000,7200000,,,177000000,10200000,-238600000,181500000,-320400000,3576800000,2334600000,426100000,1522800000,1242100000,1925000000,2270500000,4389100000,3421200000,1067800000,589100000,,GADL_T_G14_XDC,A|MD|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Mongolia,948,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,3476000000,26470000000,8816000000,16120000000,47986000000,48914000000,64011000000,108604000000,64703000000,55019000000,65447826141.3563,90981674410.04,,,202660502054.17,301531361140.96,16789797766.04,833099643439.87,-45065127795,512763616643.04,2457280072731.13,1314580000000,789458424904.475,1259614897503.08,4703032300000,1775812768826.33,-1214624765702.89,,,GADL_T_G14_XDC,A|MN|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Montenegro,943,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145469912.46,87740955.6299999,286340552.47,,,,,,GADL_T_G14_XDC,A|ME|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Montserrat,351,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4125517,-4029027,-8454292,-14597841,-6186903,9901304,6793369,-2106399,6037161,-1848584,-6477573,-27156665.53,-9810623.67,7564700.63,3752708.97,,,,,,,GADL_T_G14_XDC,A|MS|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Morocco,686,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,6127000000,5823000000,5483000000,,11279000000,13845000000,,-1331000000,151000000,3059000000,,,3215000000,10770000000,4877000000,21052606000,5719014000,-122569000.000014,-4275418999.99994,14729422000,31623792999.9999,54080406000,,,,,,35123840000,40679660000,40867479000,,GADL_T_G14_XDC,A|MA|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Mozambique, Rep. of",688,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20310063947.4705,17173511990,15425127000,34688723268,,,43843878289.3416,52391758666.88,52289662000,46041190169.6951,,GADL_T_G14_XDC,A|MZ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Myanmar,518,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,906202634000,1203927623000,589733054000,3733840065000,2460628504000,1046398989000,1695661387000,3316810311000,,GADL_T_G14_XDC,A|MM|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Namibia,728,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456840000,1673539000,866460000,1788279000,852636000,575708000,-423518000,-553712000,830084874,-674197464,1745187005,6932150527,-436334564,3496566573.91,4669550329.06,,7590316888.18,12054377974.21,9916207124,-9269125347,,GADL_T_G14_XDC,A|NA|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Nauru, Rep. of",836,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12665309.56,23432136.71,2212232.73,12014757.54,499994,,,GADL_T_G14_XDC,A|NR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
